TICKER,PUBLICATION_DATE,SUMMARY
TSLA,2018-03-28 21:32:39 +0000,Mar.28 -- Bloomberg Gadfly columnist Liam Denning discusses the plunge in Tesla bonds and the automakerâ€™s financing on &quot;What'd You Miss?&quot; Denning's opinions are his own.
TSLA,2018-03-28 21:32:30 +0000,"Bloomberg Gadfly columnist Liam Denning discusses the plunge in Tesla bonds and the automakerâ€™s financing on ""What'd You Miss?"" Denning's opinions are his own. (Source: Bloomberg)"
TSLA,2018-03-28 21:32:30 +0000,"Bloomberg Gadfly columnist Liam Denning discusses the plunge in Tesla bonds and the automakerâ€™s financing on ""What'd You Miss?"" Denning's opinions are his own. (Source: Bloomberg)"
TSLA,2018-03-28 21:17:00 +0000,"Tesla's bond yields blew out to record highs Wednesday on the electric car maker's own set of problems, but analysts say it highlights signs of worry that have been creeping across markets."
TSLA,2018-03-28 21:17:00 +0000,"Tesla&apos;s bond yields blew out to record highs Wednesday on the electric car maker&apos;s own set of problems, but analysts say it highlights signs of worry that have been creeping across markets."
TSLA,2018-03-28 21:12:43 +0000,"The sharp slump in Tesla Inc's shares this month could unlock massive gains on equity option bets investors placed over the last several months that pay when the electric car maker's stock slides.  Tesla stock is down close to 27 percent this month, within striking distance of its worst month on record.  Tesla was hit by federal probes of a fatal crash on March 23 in California involving one of its vehicles and a downgrade of its credit position by Moody's Investors Service that cited liquidity pressures and a significant shortfall in Model 3 production."
TSLA,2018-03-28 21:08:13 +0000,The benchmark averages were unable to hold onto early gains and closed lower for a second day as the continued trashing of the technology sector continued to weigh on Wall Street Support at its 200 day moving average mitigated losses for the S amp P 500 and the Dow was underpinned by strength
TSLA,2018-03-28 21:08:13 +0000,The benchmark averages were unable to hold onto early gains and closed lower for a second day as the continued trashing of the technology sector continued to weigh on Wall Street Support at its 200 day moving average mitigated losses for the S amp P 500 and the Dow was underpinned by strength
TSLA,2018-03-28 21:05:14 +0000,Analystsâ€™ Recommendations on Auto Stocks at the End of 1Q18
TSLA,2018-03-28 21:05:07 +0000,Tesla Inc. investors can press forward with claims that founder Elon Musk duped them into backing his $2.6 billion purchase of a solar-energy firm founded by his cousins.
